locale	font_size	font_source_path	font_source_sha256	codepoint	character	unicode_name	glyph_advance_px	glyph_width_px_if_available	result
cn	16	app/assets/fonts/efontCN_16_subset.cpp	6cf90d7a295914ffb0457c04d19e9fd61ca25382ded113a72322f8c586926ea3	U+03BC	μ	GREEK SMALL LETTER MU	8	7	PRESENT
cn	16	app/assets/fonts/efontCN_16_subset.cpp	6cf90d7a295914ffb0457c04d19e9fd61ca25382ded113a72322f8c586926ea3	U+4E0A	上	CJK UNIFIED IDEOGRAPH-4E0A	16	16	PRESENT
cn	16	app/assets/fonts/efontCN_16_subset.cpp	6cf90d7a295914ffb0457c04d19e9fd61ca25382ded113a72322f8c586926ea3	U+4E2A	个	CJK UNIFIED IDEOGRAPH-4E2A	16	16	PRESENT
cn	16	app/assets/fonts/efontCN_16_subset.cpp	6cf90d7a295914ffb0457c04d19e9fd61ca25382ded113a72322f8c586926ea3	U+4E2D	中	CJK UNIFIED IDEOGRAPH-4E2D	16	14	PRESENT
cn	16	app/assets/fonts/efontCN_16_subset.cpp	6cf90d7a295914ffb0457c04d19e9fd61ca25382ded113a72322f8c586926ea3	U+4E8E	于	CJK UNIFIED IDEOGRAPH-4E8E	16	16	PRESENT
cn	16	app/assets/fonts/efontCN_16_subset.cpp	6cf90d7a295914ffb0457c04d19e9fd61ca25382ded113a72322f8c586926ea3	U+4EAE	亮	CJK UNIFIED IDEOGRAPH-4EAE	16	16	PRESENT
cn	16	app/assets/fonts/efontCN_16_subset.cpp	6cf90d7a295914ffb0457c04d19e9fd61ca25382ded113a72322f8c586926ea3	U+4EF6	件	CJK UNIFIED IDEOGRAPH-4EF6	16	16	PRESENT
cn	16	app/assets/fonts/efontCN_16_subset.cpp	6cf90d7a295914ffb0457c04d19e9fd61ca25382ded113a72322f8c586926ea3	U+4EFD	份	CJK UNIFIED IDEOGRAPH-4EFD	16	16	PRESENT
cn	16	app/assets/fonts/efontCN_16_subset.cpp	6cf90d7a295914ffb0457c04d19e9fd61ca25382ded113a72322f8c586926ea3	U+4F20	传	CJK UNIFIED IDEOGRAPH-4F20	16	15	PRESENT
cn	16	app/assets/fonts/efontCN_16_subset.cpp	6cf90d7a295914ffb0457c04d19e9fd61ca25382ded113a72322f8c586926ea3	U+4F4E	低	CJK UNIFIED IDEOGRAPH-4F4E	16	16	PRESENT
